step,reason,상권_코드,상권_코드_명,상권_구분_코드_명,자치구_코드_명,영역_면적
Step1,유형제외(전통시장·관광특구),3130293,봉천중앙시장,전통시장,관악구,17101
Step1,유형제외(전통시장·관광특구),3130294,관악중부시장,전통시장,관악구,27900
Step1,유형제외(전통시장·관광특구),3130295,인헌시장(원당종합시장),전통시장,관악구,42171
Step1,유형제외(전통시장·관광특구),3130296,남부종합시장,전통시장,서초구,6658
Step1,유형제외(전통시장·관광특구),3130301,양재시장,전통시장,서초구,8409
Step1,유형제외(전통시장·관광특구),3130302,강남시장(강남구 강남시장),전통시장,강남구,3961
Step1,유형제외(전통시장·관광특구),3130303,영동전통시장,전통시장,강남구,39097
Step1,유형제외(전통시장·관광특구),3130304,신사상가,전통시장,강남구,2739
Step1,유형제외(전통시장·관광특구),3130305,논현종합시장,전통시장,강남구,6787
Step1,유형제외(전통시장·관광특구),3130306,강남언주로,전통시장,강남구,22922
Step1,유형제외(전통시장·관광특구),3130307,도곡시장,전통시장,강남구,7462
Step1,유형제외(전통시장·관광특구),3130308,청담삼익시장,전통시장,강남구,7529
Step1,유형제외(전통시장·관광특구),3130314,풍납시장,전통시장,송파구,120813
Step1,유형제외(전통시장·관광특구),3130315,문정동 로데오거리 상점가(문정동 로데오거리),전통시장,송파구,75829
Step1,유형제외(전통시장·관광특구),3130316,마천시장,전통시장,송파구,9557
Step1,유형제외(전통시장·관광특구),3130317,마천중앙시장,전통시장,송파구,33745
Step1,유형제외(전통시장·관광특구),3130318,로데오거리상점가,전통시장,강동구,56564
Step1,유형제외(전통시장·관광특구),3130319,성내전통시장,전통시장,강동구,31651
Step1,유형제외(전통시장·관광특구),3130320,암사종합시장,전통시장,강동구,37201
Step1,유형제외(전통시장·관광특구),3130321,장신구 특화거리 상점가,전통시장,강동구,38487
Step1,유형제외(전통시장·관광특구),3130322,고분다리전통시장,전통시장,강동구,20499
Step1,유형제외(전통시장·관광특구),3130323,둔촌역전통시장,전통시장,강동구,36613
Step1,유형제외(전통시장·관광특구),3130215,대원종합시장,전통시장,강서구,3092
Step1,유형제외(전통시장·관광특구),3130309,은마종합상점가,전통시장,강남구,30661
Step1,유형제외(전통시장·관광특구),3130310,강남개포시장,전통시장,강남구,25364
Step1,유형제외(전통시장·관광특구),3130311,새마을시장,전통시장,송파구,79375
Step1,유형제외(전통시장·관광특구),3130312,석촌시장,전통시장,송파구,46711
Step1,유형제외(전통시장·관광특구),3130313,방이시장,전통시장,송파구,143645
Step1,유형제외(전통시장·관광특구),3130324,길동복조리시장,전통시장,강동구,29464
Step1,유형제외(전통시장·관광특구),3130325,명일전통시장,전통시장,강동구,27547
Step1,유형제외(전통시장·관광특구),3130326,고덕 골목형상점가,전통시장,강동구,29082
Step1,유형제외(전통시장·관광특구),3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",전통시장,중구,36213
Step1,유형제외(전통시장·관광특구),3130289,봉일시장,전통시장,관악구,4844
Step1,유형제외(전통시장·관광특구),3130290,영림시장,전통시장,관악구,72197
Step1,유형제외(전통시장·관광특구),3130291,봉천제일종합시장,전통시장,관악구,3079
Step1,유형제외(전통시장·관광특구),3130292,봉천현대시장,전통시장,관악구,5418
Step1,유형제외(전통시장·관광특구),3130131,동북프라자,전통시장,강북구,8454
Step1,유형제외(전통시장·관광특구),3130132,삼양골목시장(삼양시장),전통시장,강북구,47564
Step1,유형제외(전통시장·관광특구),3130133,우이골목시장(우이시장),전통시장,강북구,54278
Step1,유형제외(전통시장·관광특구),3130134,"솔샘시장(미아6,7동골목시장)",전통시장,강북구,21168
Step1,유형제외(전통시장·관광특구),3130223,고척근린시장,전통시장,구로구,29145
Step1,유형제외(전통시장·관광특구),3130224,개봉프라자(고척근린시장),전통시장,구로구,2954
Step1,유형제외(전통시장·관광특구),3130225,개봉중앙시장,전통시장,구로구,79713
Step1,유형제외(전통시장·관광특구),3130226,고척프라자,전통시장,구로구,6013
Step1,유형제외(전통시장·관광특구),3130227,고척골목시장상점가(그라운드 고척),전통시장,구로구,17693
Step1,유형제외(전통시장·관광특구),3130228,구로시장,전통시장,구로구,13770
Step1,유형제외(전통시장·관광특구),3130053,백학시장,전통시장,중구,42212
Step1,유형제외(전통시장·관광특구),3130054,황학동주방가구거리상점가,전통시장,중구,72884
Step1,유형제외(전통시장·관광특구),3130055,"황학시장(서울중앙시장, 신중앙시장)",전통시장,중구,39709
Step1,유형제외(전통시장·관광특구),3130056,용산용문시장,전통시장,용산구,40246
Step1,유형제외(전통시장·관광특구),3130057,만리시장,전통시장,용산구,6775
Step1,유형제외(전통시장·관광특구),3130135,수유중앙골목시장(수유중앙시장),전통시장,강북구,30758
Step1,유형제외(전통시장·관광특구),3130136,수유재래시장,전통시장,강북구,10960
Step1,유형제외(전통시장·관광특구),3130137,"수유전통시장(수유시장, 수유골목시장)",전통시장,강북구,37023
Step1,유형제외(전통시장·관광특구),3130138,수유프라자,전통시장,강북구,2065
Step1,유형제외(전통시장·관광특구),3130139,강북종합전통시장(강북종합골목시장),전통시장,강북구,74901
Step1,유형제외(전통시장·관광특구),3130229,남구로시장,전통시장,구로구,45490
Step1,유형제외(전통시장·관광특구),3130230,가리봉시장,전통시장,구로구,20139
Step1,유형제외(전통시장·관광특구),3130231,독산동 우시장,전통시장,금천구,63392
Step1,유형제외(전통시장·관광특구),3130232,독산동 맛나는거리상점가(독산동 맛나는거리),전통시장,금천구,29410
