상권_코드,유동인구,직장인구,상주인구,점포_수,개업률,폐업률,CPI,기준금리,상권_유형_더미,면적_km2,상권_코드_명,상권_구분_코드_명,자치구_코드,자치구_코드_명,log_sales_test
3110001,141029.375,2388.5,999.75,46.0,2.9614625,1.6196125,110.674575,3.125,0.0,0.108529,이북5도청사,골목상권,11110,종로구,16.411539410232553
3110003,571055.875,1484.0,3021.0,135.0,2.4067875,2.77655,110.674575,3.125,0.0,0.19157,세검정초등학교,골목상권,11110,종로구,16.255079154175547
3110005,120092.375,532.25,2089.75,88.125,1.6886125,2.713725,110.674575,3.125,0.0,0.244923,세검정,골목상권,11110,종로구,16.088729302306696
3110009,168139.125,311.0,1596.5,82.75,2.9955625,2.2643375,110.674575,3.125,0.0,0.178306,자하문터널,골목상권,11110,종로구,16.261574323749073
3110010,143598.75,4776.0,3005.25,172.75,3.0278125,2.0928375,110.674575,3.125,0.0,0.369415,평창동서측,골목상권,11110,종로구,16.249085659681526
3110012,613647.375,2854.5,1964.75,122.5,3.2383125,2.8765125,110.674575,3.125,0.0,0.124348,성곡미술관,골목상권,11110,종로구,17.308598902737568
3110014,59602.125,819.5,860.25,38.75,2.235575,2.286675,110.674575,3.125,0.0,0.063411,경복고등학교,골목상권,11110,종로구,16.344986914361755
3110015,74604.0,1023.0,620.75,20.875,2.9491375,1.815475,110.674575,3.125,0.0,0.069399,청와대사랑채,골목상권,11110,종로구,17.467007699236138
3110016,37434.375,4338.75,1986.75,106.75,1.8682750000000001,1.2917750000000001,110.674575,3.125,0.0,0.522818,평창동동측,골목상권,11110,종로구,15.473274339565267
3110017,460544.875,377.25,692.25,51.75,3.8469875,1.2522375000000001,110.674575,3.125,0.0,0.083855,정독도서관,골목상권,11110,종로구,14.042446426229468
3110018,466180.125,1298.75,2806.0,184.25,3.19115,2.3750625,110.674575,3.125,0.0,0.166872,중앙고등학교,골목상권,11110,종로구,16.0808468957755
3110020,1928576.375,950.75,3980.5,134.75,3.0590875,2.6900625,110.674575,3.125,0.0,0.133692,서울국제고등학교,골목상권,11110,종로구,16.77012606898179
3110022,548979.0,305.5,1522.5,106.5,3.298075,2.0241249999999997,110.674575,3.125,0.0,0.060182,경신고등학교,골목상권,11110,종로구,16.204138438445018
3110024,301010.0,424.0,1049.0,90.5,3.1626125,2.906325,110.674575,3.125,0.0,0.05285,혜화동주민센터,골목상권,11110,종로구,16.92971888090344
3110027,385259.875,140.75,2785.5,76.875,4.5345625,3.923275,110.674575,3.125,0.0,0.117673,혜화역 1번,골목상권,11110,종로구,15.282127797110803
3110028,2511994.5,614.0,4098.5,171.75,2.6054625,2.168325,110.674575,3.125,0.0,0.159124,이화달팽이길,골목상권,11110,종로구,17.13756497276745
3110029,3123201.0,79.75,5613.5,141.5,2.90525,3.362225,110.674575,3.125,0.0,0.15323,동대문역 1번,골목상권,11110,종로구,16.69878639617591
3110033,672801.5,156.5,2062.5,85.875,3.051425,3.34545,110.674575,3.125,0.0,0.077869,창신역 4번,골목상권,11110,종로구,16.111594624641114
3110035,1359792.375,215.25,3567.0,131.0,2.3852875,2.8778,110.674575,3.125,0.0,0.095779,동묘앞역 2번,골목상권,11110,종로구,16.2183242976708
3110037,840739.25,552.75,1582.5,99.75,3.4946875,3.6798875,110.674575,3.125,0.0,0.055232,신설동역 12번,골목상권,11110,종로구,15.842505778012669
3110040,166757.5,1012.25,973.0,65.875,2.652475,3.6170999999999998,110.674575,3.125,0.0,0.076242,중구회현체육센터(정화예술대남산캠퍼스),골목상권,11140,중구,16.106389907921
3110041,321691.875,970.25,714.5,173.875,3.2924375,2.1671,110.674575,3.125,0.0,0.13056,남산케이블카,골목상권,11140,중구,17.28282758125279
3110042,210604.375,1487.0,960.5,63.625,2.1066625,2.3871625,110.674575,3.125,0.0,0.072607,남산골공원옆,골목상권,11140,중구,16.209741288337433
3110043,801150.75,1863.0,2159.5,182.75,3.0730625,2.4045125,110.674575,3.125,0.0,0.110058,충무초등학교,골목상권,11140,중구,16.049513127752945
3110048,902295.0,1390.0,2525.0,126.625,1.9656875,2.1877375,110.674575,3.125,0.0,0.135606,장충동주민센터,골목상권,11140,중구,17.23477725077514
3110049,682198.5,2658.5,2011.5,143.25,4.0176375,3.143825,110.674575,3.125,0.0,0.070693,장충단 고개,골목상권,11140,중구,17.15774247440566
3110052,617218.625,808.5,1791.0,178.125,2.871525,2.2484,110.674575,3.125,0.0,0.068893,장충초등학교,골목상권,11140,중구,17.819707216765703
3110053,1006297.5,71.25,2583.5,175.625,3.1251375,3.4382875,110.674575,3.125,0.0,0.08555,청구역 1번,골목상권,11140,중구,16.862052698996173
3110054,1029268.75,4777.75,1944.0,221.5,2.9414,3.4540875,110.674575,3.125,0.0,0.069155,청구역 3번,골목상권,11140,중구,16.963176469336133
3110056,1742201.375,445.75,5097.0,279.375,4.2787375,3.0704375,110.674575,3.125,0.0,0.129607,신당역 3번,골목상권,11140,중구,16.773272617743793
3110058,1552632.0,1451.5,3853.25,268.375,2.5099125,2.5223625,110.674575,3.125,0.0,0.13562,성심여자고등학교,골목상권,11170,용산구,17.774329427020593
3110059,674947.75,2117.5,1741.25,167.625,3.1053375,2.2185,110.674575,3.125,0.0,0.05697,새남터성지,골목상권,11170,용산구,15.425130634908802
3110060,655193.0,1320.75,3394.0,165.5,3.236825,2.487275,110.674575,3.125,0.0,0.094719,효창공원앞역 6번,골목상권,11170,용산구,17.093193740033765
3110061,1279883.125,439.75,3767.5,111.75,3.5711875,2.915125,110.674575,3.125,0.0,0.100249,효창동주민센터,골목상권,11170,용산구,16.15719233798983
3110062,817100.875,2347.5,1243.0,285.625,3.516175,1.5183375,110.674575,3.125,0.0,0.132684,한강로동땡땡거리(은행나무길),골목상권,11170,용산구,17.372904630348472
3110063,868312.25,1182.25,2634.5,247.125,2.8891875,2.8488249999999997,110.674575,3.125,0.0,0.110329,효창공원앞역 5번,골목상권,11170,용산구,17.11599873099521
3110064,1359255.125,1081.75,2875.75,160.125,2.6294625,2.2752749999999997,110.674575,3.125,0.0,0.13155,효창공원앞역 2번,골목상권,11170,용산구,17.893095947751416
3110066,1452247.375,1024.0,2922.0,209.25,3.7907375,1.591675,110.674575,3.125,0.0,0.133737,서울역 15번,골목상권,11170,용산구,16.719618899684626
3110067,2282933.625,668.25,7934.75,194.875,4.64655,3.4291875,110.674575,3.125,0.0,0.204936,배문고등학교,골목상권,11170,용산구,16.78294785107123
3110068,1711865.5,800.0,3492.25,254.0,4.00935,2.27535,110.674575,3.125,0.0,0.145312,남영역 1번,골목상권,11170,용산구,17.310532897422846
3110069,2340299.25,992.0,5141.0,424.125,6.2594875000000005,4.2331125,110.674575,3.125,0.0,0.173542,숙대입구,골목상권,11170,용산구,17.40706168836609
3110074,754913.75,4355.25,3006.0,270.0,3.0577375,2.2697625,110.674575,3.125,0.0,0.105922,서울역 12번,골목상권,11170,용산구,17.38420414063885
3110075,885004.625,1978.25,3211.75,160.25,2.9549624999999997,2.1893625,110.674575,3.125,0.0,0.128905,숙대입구역 1번,골목상권,11170,용산구,16.648621663174286
3110079,2063176.0,1069.0,10226.75,407.75,4.116099999999999,2.964025,110.674575,3.125,0.0,0.293041,후암동주민센터,골목상권,11170,용산구,16.80826429609641
3110080,1560149.875,364.5,4130.0,174.875,3.771675,2.4790375,110.674575,3.125,0.0,0.134562,해방촌예술마을,골목상권,11170,용산구,16.168162242100838
3110081,1670466.625,231.25,3479.25,251.125,3.825125,3.491125,110.674575,3.125,0.0,0.10501,해방촌 남동측,골목상권,11170,용산구,17.21461287375165
3110082,372530.375,4545.0,988.0,170.5,4.271425,2.811875,110.674575,3.125,0.0,0.07114,용산구청,골목상권,11170,용산구,17.304047711523427
