상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적
A,골목상권,3110009,자하문터널,196991,455057,11110,종로구,11110550,부암동,178306
A,골목상권,3110010,평창동서측,197064,456643,11110,종로구,11110560,평창동,369415
A,골목상권,3110017,정독도서관,198581,453781,11110,종로구,11110600,가회동,83855
A,골목상권,3110018,중앙고등학교,198883,453690,11110,종로구,11110600,가회동,166872
A,골목상권,3110020,서울국제고등학교,199598,454302,11110,종로구,11110650,혜화동,133692
A,골목상권,3110001,이북5도청사,196262,456660,11110,종로구,11110560,평창동,108529
A,골목상권,3110003,세검정초등학교,196389,455998,11110,종로구,11110550,부암동,191570
A,골목상권,3110035,동묘앞역 2번,201699,452879,11110,종로구,11110710,숭인2동,95779
A,골목상권,3110012,성곡미술관,197292,452641,11110,종로구,11110530,사직동,124348
A,골목상권,3110014,경복고등학교,197484,453952,11110,종로구,11110515,청운효자동,63411
A,골목상권,3110015,청와대사랑채,197585,453623,11110,종로구,11110515,청운효자동,69399
A,골목상권,3110016,평창동동측,197827,457040,11110,종로구,11110560,평창동,522818
A,골목상권,3110005,세검정,196688,455706,11110,종로구,11110550,부암동,244923
A,골목상권,3110037,신설동역 12번,201949,453159,11110,종로구,11110710,숭인2동,55232
A,골목상권,3110022,경신고등학교,199921,454166,11110,종로구,11110650,혜화동,60182
A,골목상권,3110024,혜화동주민센터,200121,454192,11110,종로구,11110650,혜화동,52850
A,골목상권,3110027,혜화역 1번,200507,453618,11110,종로구,11110640,이화동,117673
A,골목상권,3110028,이화달팽이길,200575,452995,11110,종로구,11110640,이화동,159124
A,골목상권,3110029,동대문역 1번,200934,452953,11110,종로구,11110680,창신2동,153230
A,골목상권,3110033,창신역 4번,201471,453118,11110,종로구,11110700,숭인1동,77869
A,골목상권,3110058,성심여자고등학교,195949,448136,11170,용산구,11170570,원효로2동,135620
A,골목상권,3110059,새남터성지,196084,447363,11170,용산구,11170640,이촌2동,56970
A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),198420,450734,11140,중구,11140540,회현동,76242
A,골목상권,3110041,남산케이블카,198659,450764,11140,중구,11140550,명동,130560
A,골목상권,3110042,남산골공원옆,199565,450784,11140,중구,11140570,필동,72607
A,골목상권,3110043,충무초등학교,200090,451226,11140,중구,11140580,장충동,110058
A,골목상권,3110048,장충동주민센터,200749,451274,11140,중구,11140580,장충동,135606
A,골목상권,3110049,장충단 고개,200898,450889,11140,중구,11140625,다산동,70693
A,골목상권,3110053,청구역 1번,201118,451376,11140,중구,11140615,신당동,85550
A,골목상권,3110054,청구역 3번,201174,450806,11140,중구,11140645,청구동,69155
A,골목상권,3110056,신당역 3번,201855,451480,11140,중구,11140650,신당5동,129607
A,골목상권,3110079,후암동주민센터,198162,450065,11170,용산구,11170510,후암동,293041
A,골목상권,3110080,해방촌예술마을,198518,449757,11170,용산구,11170510,후암동,134562
A,골목상권,3110081,해방촌 남동측,198634,449401,11170,용산구,11170520,용산2가동,105010
A,골목상권,3110052,장충초등학교,201128,451117,11140,중구,11140625,다산동,68893
A,골목상권,3110060,효창공원앞역 6번,196339,448750,11170,용산구,11170590,용문동,94719
A,골목상권,3110061,효창동주민센터,196409,449179,11170,용산구,11170580,효창동,100249
A,골목상권,3110062,한강로동땡땡거리(은행나무길),196643,447278,11170,용산구,11170625,한강로동,132684
A,골목상권,3110063,효창공원앞역 5번,196702,448664,11170,용산구,11170590,용문동,110329
A,골목상권,3110064,효창공원앞역 2번,196816,449203,11170,용산구,11170580,효창동,131550
A,골목상권,3110082,용산구청,199212,448107,11170,용산구,11170650,이태원1동,71140
A,골목상권,3110083,서빙고역 1번,199271,446786,11170,용산구,11170690,서빙고동,58652
A,골목상권,3110084,경리단길북측,199236,449136,11170,용산구,11170660,이태원2동,225725
A,골목상권,3110085,경리단길남측,199260,448806,11170,용산구,11170660,이태원2동,181830
A,골목상권,3110066,서울역 15번,197079,450403,11170,용산구,11170555,청파동,133737
A,골목상권,3110067,배문고등학교,197116,449954,11170,용산구,11170555,청파동,204936
A,골목상권,3110068,남영역 1번,197107,449013,11170,용산구,11170560,원효로1동,145312
A,골목상권,3110069,숙대입구,197161,449524,11170,용산구,11170555,청파동,173542
A,골목상권,3110074,서울역 12번,197716,450166,11170,용산구,11170530,남영동,105922
A,골목상권,3110075,숙대입구역 1번,197679,449714,11170,용산구,11170530,남영동,128905
A,골목상권,3110110,상왕십리역 6번,202454,451618,11200,성동구,11200520,왕십리2동,51942
A,골목상권,3110087,이태원엔틱가구거리,199502,448055,11170,용산구,11170650,이태원1동,52542
A,골목상권,3110088,오산고등학교,199685,447296,11170,용산구,11170690,서빙고동,96560
A,골목상권,3110089,서빙고동주민센터,199668,446947,11170,용산구,11170690,서빙고동,105979
A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,199734,447571,11170,용산구,11170700,보광동,97059
A,골목상권,3110091,리움미술관,199856,448602,11170,용산구,11170685,한남동,55141
A,골목상권,3110092,NH농협은행 보광동지점,199990,447728,11170,용산구,11170700,보광동,105153
A,골목상권,3110093,우사단길,200024,448092,11170,용산구,11170685,한남동,234768
A,골목상권,3110095,한강진역 3번,200198,448658,11170,용산구,11170685,한남동,149192
A,골목상권,3110099,유엔빌리지길,201076,448324,11170,용산구,11170685,한남동,263187
A,골목상권,3110104,신금호역 4번,201782,450233,11200,성동구,11200615,금호2?3가동,66838
A,골목상권,3110131,성수동카페거리,204716,449234,11200,성동구,11200670,성수2가1동,131865
A,골목상권,3110132,성수2가3동주민센터,204767,449989,11200,성동구,11200690,성수2가3동,76450
A,골목상권,3110136,경수초등학교,205299,449009,11200,성동구,11200670,성수2가1동,260628
A,골목상권,3110112,행당역 2번,202776,451078,11200,성동구,11200560,행당1동,68591
A,골목상권,3110113,응봉산,202786,449918,11200,성동구,11200580,응봉동,89115
A,골목상권,3110133,서울교통공사,205004,451461,11200,성동구,11200790,용답동,80187
A,골목상권,3110134,성수119안전센터,205062,448509,11200,성동구,11200670,성수2가1동,222826
A,골목상권,3110135,성동세무서,205254,449984,11200,성동구,11200720,송정동,136762
A,골목상권,3110115,상왕십리역 3번,202799,451762,11200,성동구,11200535,왕십리도선동,80878
A,골목상권,3110116,청계천박물관,203093,452318,11200,성동구,11200540,마장동,98083
A,골목상권,3110118,왕십리역 9번,203170,450924,11200,성동구,11200560,행당1동,63575
A,골목상권,3110122,마장역 2번,203900,452033,11200,성동구,11200540,마장동,80335
A,골목상권,3110123,마장역 3번,203977,451906,11200,성동구,11200540,마장동,169553
A,골목상권,3110124,뚝섬역교차로,204001,450061,11200,성동구,11200660,성수1가2동,79596
A,골목상권,3110125,사근동살곶이상점가,204116,451277,11200,성동구,11200550,사근동,128923
A,골목상권,3110128,성원중학교,204412,448741,11200,성동구,11200650,성수1가1동,247340
A,골목상권,3110157,자양동우체국,207135,447836,11215,광진구,11215830,자양2동,115158
A,골목상권,3110158,중곡3동주민센터,207154,452135,11215,광진구,11215760,중곡3동,166799
A,골목상권,3110159,구의역 4번,207146,448388,11215,광진구,11215820,자양1동,210895
A,골목상권,3110137,성수초등학교,205519,449630,11200,성동구,11200690,성수2가3동,330983
A,골목상권,3110139,자양4동주민센터,205610,448404,11215,광진구,11215847,자양4동,155861
A,골목상권,3110140,건대입구역 6번,205807,448790,11215,광진구,11215847,자양4동,179746
A,골목상권,3110141,건대입구역 1번,205871,449295,11215,광진구,11215710,화양동,67458
A,골목상권,3110142,화양사거리,206028,449645,11215,광진구,11215710,화양동,116892
A,골목상권,3110146,신자초등학교,206474,448005,11215,광진구,11215840,자양3동,106885
A,골목상권,3110147,능동우편취급국,206519,450742,11215,광진구,11215730,군자동,157029
A,골목상권,3110150,중곡1동 마을마당,206780,451324,11215,광진구,11215740,중곡1동,159510
A,골목상권,3110151,자양한강도서관,206813,447963,11215,광진구,11215830,자양2동,107574
A,골목상권,3110153,중곡1동주민센터,207018,451220,11215,광진구,11215740,중곡1동,50068
A,골목상권,3110156,군자역 5번,207110,450472,11215,광진구,11215780,능동,153696
A,골목상권,3110174,아차산역 1번,208044,450658,11215,광진구,11215770,중곡4동,103458
A,골목상권,3110155,광진구청,207007,448746,11215,광진구,11215820,자양1동,97314
A,골목상권,3110161,중곡역 3번,207394,452066,11215,광진구,11215760,중곡3동,141901
A,골목상권,3110162,군자역 4번,207315,450952,11215,광진구,11215750,중곡2동,70945
A,골목상권,3110163,성자초등학교,207457,447914,11215,광진구,11215830,자양2동,66483
A,골목상권,3110164,아차산역 5번,207531,450418,11215,광진구,11215780,능동,85050
A,골목상권,3110165,국립정신건강센터,207575,451405,11215,광진구,11215750,중곡2동,95687
A,골목상권,3110166,구의1동주민센터,207558,449057,11215,광진구,11215850,구의1동,131620
A,골목상권,3110167,용마초등학교,207600,450940,11215,광진구,11215750,중곡2동,154354
A,골목상권,3110168,대원고등학교,207751,451529,11215,광진구,11215770,중곡4동,58514
A,골목상권,3110169,성동초등학교,207787,448123,11215,광진구,11215830,자양2동,75500
A,골목상권,3110170,동대부여고,207834,449143,11215,광진구,11215850,구의1동,120727
A,골목상권,3110172,광진초등학교,207912,449734,11215,광진구,11215860,구의2동,95499
A,골목상권,3110180,광진정보도서관,209612,449948,11215,광진구,11215810,광장동,74699
A,골목상권,3110181,신설동역 9번,202420,452524,11230,동대문구,11230536,용신동,141747
A,골목상권,3110187,제기동역 6번,202876,452949,11230,동대문구,11230536,용신동,159981
A,골목상권,3110189,제기동역 1번,202945,453360,11230,동대문구,11230545,제기동,88499
A,골목상권,3110190,고대앞사거리,203021,453940,11230,동대문구,11230545,제기동,101416
A,골목상권,3110195,동대문구청,203596,452957,11230,동대문구,11230536,용신동,115383
A,골목상권,3110199,홍릉시장,203766,453910,11230,동대문구,11230545,제기동,69877
A,골목상권,3110191,고려대역 6번,203181,454240,11230,동대문구,11230545,제기동,79173
A,골목상권,3110193,고려대역 4번,203326,454482,11230,동대문구,11230545,제기동,67780
A,골목상권,3110194,홍파초등학교,203549,453894,11230,동대문구,11230545,제기동,87946
A,골목상권,3110205,경희대삼거리,204533,454605,11230,동대문구,11230710,회기동,88816
A,골목상권,3110229,장평중학교,206184,451672,11230,동대문구,11230650,장안1동,205648
A,골목상권,3110232,동대부고,206490,453086,11230,동대문구,11230660,장안2동,104535
A,골목상권,3110225,촬영소사거리,205617,452236,11230,동대문구,11230610,답십리2동,54806
A,골목상권,3110210,서울시립대,204784,454008,11230,동대문구,11230560,전농1동,110970
A,골목상권,3110212,답십리초등학교,204987,452276,11230,동대문구,11230600,답십리1동,80982
A,골목상권,3110214,경희대후문,204987,455329,11230,동대문구,11230740,이문1동,79862
A,골목상권,3110215,회기역 1번,205156,454641,11230,동대문구,11230720,휘경1동,51478
A,골목상권,3110216,전농중학교,205156,453263,11230,동대문구,11230570,전농2동,65069
A,골목상권,3110217,자동차부품상가,205207,451743,11230,동대문구,11230610,답십리2동,56649
A,골목상권,3110218,답십리사거리,205138,452341,11230,동대문구,11230610,답십리2동,82160
A,골목상권,3110220,외대앞역 1번,205403,455074,11230,동대문구,11230740,이문1동,98625
A,골목상권,3110226,장안1동주민센터,205884,452160,11230,동대문구,11230650,장안1동,285861
A,골목상권,3110255,상봉역 4번,207311,454906,11260,중랑구,11260590,상봉2동,191245
A,골목상권,3110233,중랑역 1번,206528,455158,11260,중랑구,11260610,중화2동,124330
A,골목상권,3110234,중랑역 4번,206502,454920,11260,중랑구,11260610,중화2동,58421
A,골목상권,3110236,신묵초등학교,206616,456591,11260,중랑구,11260630,묵2동,180650
A,골목상권,3110237,메가박스 상봉,206601,454652,11260,중랑구,11260520,면목2동,124410
A,골목상권,3110243,중랑노인종합복지관,206888,454287,11260,중랑구,11260520,면목2동,128302
A,골목상권,3110244,중화역 4번,206912,455985,11260,중랑구,11260610,중화2동,63066
A,골목상권,3110245,KB국민은행 중화동지점,206956,455282,11260,중랑구,11260610,중화2동,62374
A,골목상권,3110246,월드순복음교회,206971,454832,11260,중랑구,11260590,상봉2동,87353
A,골목상권,3110247,먹골역 1번,207001,456738,11260,중랑구,11260620,묵1동,148439
A,골목상권,3110249,중화역 1번,207071,456080,11260,중랑구,11260600,중화1동,170317
A,골목상권,3110241,먹골역 5번,206829,456519,11260,중랑구,11260630,묵2동,99076
A,골목상권,3110242,면목5동주민센터,206907,453904,11260,중랑구,11260550,면목5동,105010
A,골목상권,3110251,장안중학교,207245,455571,11260,중랑구,11260600,중화1동,90556
A,골목상권,3110252,장안제일시장,207210,453972,11260,중랑구,11260550,면목5동,121544
A,골목상권,3110253,중곡초등학교,207294,452626,11260,중랑구,11260540,면목4동,86503
A,골목상권,3110278,망우본동주민센터,209142,455775,11260,중랑구,11260655,망우본동,137523
A,골목상권,3110272,신내1동주민센터,208691,456291,11260,중랑구,11260680,신내1동,146352
A,골목상권,3110256,면목2동체육관,207297,454482,11260,중랑구,11260520,면목2동,221861
A,골목상권,3110257,상봉역 7번,207583,455462,11260,중랑구,11260580,상봉1동,114328
A,골목상권,3110258,면동초등학교,207582,454086,11260,중랑구,11260565,면목본동,111432
A,골목상권,3110259,사가정역 1번,207605,453638,11260,중랑구,11260575,면목3?8동,86298
A,골목상권,3110260,면목역 3번,207615,454450,11260,중랑구,11260565,면목본동,65941
A,골목상권,3110261,사가정역 4번,207796,453176,11260,중랑구,11260570,면목7동,109503
A,골목상권,3110262,상봉역 3번,207850,454983,11260,중랑구,11260590,상봉2동,121975
A,골목상권,3110263,면목역 1번,207934,454695,11260,중랑구,11260565,면목본동,152104
A,골목상권,3110264,면목역 2번,208090,454193,11260,중랑구,11260565,면목본동,216948
A,골목상권,3110265,망우역 1번,208182,455535,11260,중랑구,11260580,상봉1동,164846
A,골목상권,3110266,면목동우체국,208094,453739,11260,중랑구,11260575,면목3?8동,114047
A,골목상권,3110267,망우역 2번,207896,455693,11260,중랑구,11260580,상봉1동,125682
A,골목상권,3110268,망우3동주민센터,208341,454702,11260,중랑구,11260660,망우3동,71237
A,골목상권,3110269,용마문화복지센터,208386,454301,11260,중랑구,11260575,면목3?8동,50066
A,골목상권,3110271,신내역 1번,208737,457334,11260,중랑구,11260680,신내1동,112596
A,골목상권,3110320,KB국민은행 종암동지점,203263,455041,11290,성북구,11290705,종암동,52907
A,골목상권,3110322,장위1동주민센터,203690,457290,11290,성북구,11290760,장위1동,84262
A,골목상권,3110323,상월곡역 1번,203943,456250,11290,성북구,11290725,월곡2동,83644
A,골목상권,3110281,길상사,199476,455329,11290,성북구,11290525,성북동,244583
A,골목상권,3110282,국민대학교앞,199894,456476,11290,성북구,11290640,정릉3동,69438
A,골목상권,3110284,정릉북한산국립공원입구,199916,457667,11290,성북구,11290650,정릉4동,57402
A,골목상권,3110285,홍대부중,200122,454958,11290,성북구,11290525,성북동,90071
A,골목상권,3110286,한성대입구역 5번,200267,454472,11290,성북구,11290525,성북동,112177
A,골목상권,3110287,정릉3동주민센터,200322,456640,11290,성북구,11290640,정릉3동,60168
A,골목상권,3110288,동구여중,200468,454617,11290,성북구,11290525,성북동,82760
A,골목상권,3110289,북한산보국문역 2번,200613,456596,11290,성북구,11290640,정릉3동,162270
A,골목상권,3110299,정릉역 1번,201588,455814,11290,성북구,11290620,정릉1동,140910
A,골목상권,3110300,삼선동주민센터,201728,454413,11290,성북구,11290600,안암동,155662
A,골목상권,3110301,성신여대입구역 7번,201622,455143,11290,성북구,11290575,동선동,107374
A,골목상권,3110302,보문역 8번,201699,453779,11290,성북구,11290610,보문동,67532
A,골목상권,3110303,성신여대입구역 1번,201864,454954,11290,성북구,11290575,동선동,109299
A,골목상권,3110304,보문역 4번,201853,454151,11290,성북구,11290600,안암동,93288
A,골목상권,3110305,보문역 5번,201956,453872,11290,성북구,11290600,안암동,147424
A,골목상권,3110307,길음역 7번,202044,456064,11290,성북구,11290660,길음1동,55213
A,골목상권,3110308,길음역 8번,202156,456410,11290,성북구,11290685,길음2동,84969
A,골목상권,3110309,대광초등학교,202174,453492,11290,성북구,11290600,안암동,72678
A,골목상권,3110291,한성대입구역 3번,200879,454012,11290,성북구,11290555,삼선동,175682
A,골목상권,3110293,삼선중학교,200919,454642,11290,성북구,11290525,성북동,79830
A,골목상권,3110295,정릉우체국,201097,456370,11290,성북구,11290630,정릉2동,153101
A,골목상권,3110296,성신여대입구역 4번,201319,454904,11290,성북구,11290575,동선동,59460
A,골목상권,3110297,경동고등학교,201254,454294,11290,성북구,11290555,삼선동,167263
A,골목상권,3110312,안암역 2번,202569,454348,11290,성북구,11290600,안암동,85118
A,골목상권,3110313,안암역 3번,202623,453826,11290,성북구,11290600,안암동,82289
A,골목상권,3110314,종암경찰서,202860,455730,11290,성북구,11290705,종암동,84094
A,골목상권,3110315,종암아이파크2차,202967,455307,11290,성북구,11290705,종암동,92801
A,골목상권,3110316,숭곡초등학교,203036,456508,11290,성북구,11290715,월곡1동,180619
A,골목상권,3110317,종암중학교,203017,454857,11290,성북구,11290705,종암동,91409
A,골목상권,3110318,KT월곡지사,203090,456010,11290,성북구,11290715,월곡1동,76869
A,골목상권,3110319,종암동주민센터,203175,455519,11290,성북구,11290705,종암동,98376
A,골목상권,3110353,수유동우체국,201429,460733,11305,강북구,11305625,수유2동,75187
A,골목상권,3110348,강북문화예술회관,201295,460283,11305,강북구,11305660,인수동,122433
A,골목상권,3110325,장곡초등학교,204065,457480,11290,성북구,11290760,장위1동,104685
A,골목상권,3110327,상월곡역 2번,204404,456574,11290,성북구,11290770,장위2동,117350
A,골목상권,3110328,상월곡역 3번,204494,456315,11290,성북구,11290810,석관동,88297
A,골목상권,3110329,우리은행체육관,204694,457411,11290,성북구,11290770,장위2동,88610
A,골목상권,3110330,돌곶이역 1번,204785,456784,11290,성북구,11290770,장위2동,72476
A,골목상권,3110331,돌곶이역 8번,205071,456537,11290,성북구,11290810,석관동,105931
A,골목상권,3110333,돌곶이역 5번,205235,456656,11290,성북구,11290810,석관동,67373
A,골목상권,3110334,석관중앙교회,205523,456497,11290,성북구,11290810,석관동,84276
A,골목상권,3110335,석계역 7번,205645,457031,11290,성북구,11290810,석관동,140761
A,골목상권,3110336,석관고등학교,205718,456720,11290,성북구,11290810,석관동,62554
A,골목상권,3110337,아카데미하우스,200625,460586,11305,강북구,11305660,인수동,120638
A,골목상권,3110340,인수중학교,200791,460520,11305,강북구,11305660,인수동,50149
A,골목상권,3110341,북한산우이역 2번,200835,462472,11305,강북구,11305645,우이동,140183
A,골목상권,3110342,국립재활원,201078,459717,11305,강북구,11305660,인수동,62499
A,골목상권,3110366,광산사거리,202157,460441,11305,강북구,11305635,수유3동,57563
A,골목상권,3110345,솔밭공원역 2번,201113,461962,11305,강북구,11305645,우이동,103855
A,골목상권,3110346,4.19민주묘지역 2번,201112,461090,11305,강북구,11305645,우이동,60794
A,골목상권,3110350,가오리역 2번,201343,459984,11305,강북구,11305660,인수동,75348
A,골목상권,3110351,수유북부시장옆,201375,459629,11305,강북구,11305660,인수동,78839
A,골목상권,3110352,수유1동주민센터,201422,458947,11305,강북구,11305615,수유1동,134108
A,골목상권,3110371,삼양입구사거리,202451,457427,11305,강북구,11305555,송천동,62809
A,골목상권,3110372,강북중학교,202506,460397,11305,강북구,11305635,수유3동,82483
A,골목상권,3110355,삼양사거리역 2번,201603,458000,11305,강북구,11305534,삼양동,101492
A,골목상권,3110356,덕수교,201609,460954,11305,강북구,11305625,수유2동,102062
A,골목상권,3110360,수유초등학교,201790,459211,11305,강북구,11305615,수유1동,106526
A,골목상권,3110361,삼양사거리역 1번,201938,457918,11305,강북구,11305555,송천동,74852
A,골목상권,3110362,우이천 계성교,201964,460744,11305,강북구,11305625,수유2동,142902
A,골목상권,3110364,미아역 8번,202029,458632,11305,강북구,11305535,미아동,127150
A,골목상권,3110365,미아역 5번,202059,458234,11305,강북구,11305535,미아동,115228
A,골목상권,3110358,인수동 우편취급국,201703,459587,11305,강북구,11305635,수유3동,111455
A,골목상권,3110359,수유시장옆,201763,459911,11305,강북구,11305635,수유3동,135413
A,골목상권,3110367,강북구청,202105,460127,11305,강북구,11305635,수유3동,63938
A,골목상권,3110368,송천초등학교,202139,457232,11305,강북구,11305555,송천동,105075
A,골목상권,3110369,성신여대운정그린캠퍼스,202277,459283,11305,강북구,11305535,미아동,133932
A,골목상권,3110370,도봉세무서,202381,457675,11305,강북구,11305555,송천동,108984
A,골목상권,3110396,쌍문역1번(쌍리단길),203218,460963,11320,도봉구,11320511,창1동,52971
A,골목상권,3110397,도봉산입구,203332,464982,11320,도봉구,11320521,도봉1동,542024
A,골목상권,3110398,쌍문2동우체국,203278,461696,11320,도봉구,11320670,쌍문2동,102318
A,골목상권,3110399,창2동주민센터,203454,460218,11320,도봉구,11320512,창2동,161205
A,골목상권,3110390,방학초등학교,202823,462590,11320,도봉구,11320700,방학2동,61821
A,골목상권,3110373,수유역 2번,202534,459700,11305,강북구,11305595,번1동,84732
A,골목상권,3110374,송중초등학교,202711,457804,11305,강북구,11305545,송중동,204374
A,골목상권,3110375,서울북부고용노동지청,202797,459422,11305,강북구,11305603,번2동,58262
A,골목상권,3110376,수송초등학교,202774,459976,11305,강북구,11305595,번1동,208928
A,골목상권,3110378,송중동주민센터,203052,457230,11305,강북구,11305545,송중동,53154
A,골목상권,3110387,쌍문초등학교,202159,461198,11320,도봉구,11320660,쌍문1동,143845
A,골목상권,3110388,도봉우체국,202678,460881,11320,도봉구,11320680,쌍문3동,55371
A,골목상권,3110394,방학중학교,203106,463000,11320,도봉구,11320700,방학2동,157817
A,골목상권,3110395,신한은행 방학동지점,203218,462687,11320,도봉구,11320690,방학1동,52472
A,골목상권,3110431,상계역,206556,462351,11350,노원구,11350624,중계4동,55707
A,골목상권,3110480,연신내역 3번,193392,457581,11380,은평구,11380520,불광1동,77808
A,골목상권,3110481,불광역 7번,193522,456966,11380,은평구,11380570,대조동,88375
A,골목상권,3110455,역촌노인복지관,192271,455990,11380,은평구,11380625,역촌동,155405
A,골목상권,3110456,구산보건지소,192317,456472,11380,은평구,11380560,구산동,170875
A,골목상권,3110457,예일여고,192325,456907,11380,은평구,11380560,구산동,93412
A,골목상권,3110483,연천초등학교,193551,457851,11380,은평구,11380520,불광1동,67748
A,골목상권,3110484,역촌역 3번,193559,456301,11380,은평구,11380510,녹번동,191591
A,골목상권,3110471,응암동우체국,192874,454645,11380,은평구,11380590,응암2동,123744
A,골목상권,3110517,서대문소방서,194394,452679,11410,서대문구,11410615,연희동,63408
A,골목상권,3110492,하나고등학교,194584,460074,11380,은평구,11380690,진관동,133323
A,골목상권,3110508,서연중학교,193595,452248,11410,서대문구,11410615,연희동,171649
A,골목상권,3110519,서대문구보건소별관,194442,453988,11410,서대문구,11410620,홍제1동,115619
A,골목상권,3110520,경의중앙 신촌역,194757,450919,11410,서대문구,11410585,신촌동,60585
A,골목상권,3110566,경의선책거리,193685,450750,11440,마포구,11440660,서교동,156743
A,골목상권,3110542,마포구청역 7번,191345,451292,11440,마포구,11440700,망원2동,123656
A,골목상권,3110544,망리단길,191619,450607,11440,마포구,11440690,망원1동,311648
A,골목상권,3110545,마포구청역 1번,191544,451746,11440,마포구,11440730,성산2동,87346
A,골목상권,3110553,가좌역 2번,192127,452064,11440,마포구,11440730,성산2동,83965
A,골목상권,3110554,망원역 1번,192277,450762,11440,마포구,11440660,서교동,126268
A,골목상권,3110582,이대역 5번,195312,450646,11440,마포구,11440610,염리동,53599
A,골목상권,3110421,석계역 1번,205573,457361,11350,노원구,11350560,월계1동,69794
A,골목상권,3110586,서울서부지방법원,196159,450001,11440,마포구,11440565,공덕동,132139
A,골목상권,3110587,공덕동주민센터,196316,449878,11440,마포구,11440565,공덕동,76629
A,골목상권,3110448,상신초등학교입구,191804,455212,11380,은평구,11380632,신사2동,61765
A,골목상권,3110409,창동역 2번,203829,461718,11320,도봉구,11320515,창5동,77642
A,골목상권,3110410,방학역 2번,203939,463274,11320,도봉구,11320690,방학1동,130951
A,골목상권,3110411,도봉역 3번,204032,464014,11320,도봉구,11320522,도봉2동,90321
A,골목상권,3110437,당고개역 2번,206846,463073,11350,노원구,11350665,상계3?4동,83701
A,골목상권,3110438,경춘선숲길 우측,206924,458484,11350,노원구,11350600,공릉2동,100071
A,골목상권,3110423,석계역 2번,205719,457498,11350,노원구,11350560,월계1동,58165
A,골목상권,3110472,연신내역 4번,193000,457351,11380,은평구,11380570,대조동,134157
A,골목상권,3110473,구산역 1번,193014,457016,11380,은평구,11380570,대조동,185580
A,골목상권,3110449,증산역 3번,191787,453767,11380,은평구,11380640,증산동,154127
A,골목상권,3110495,북가좌2동주민센터,192016,453516,11410,서대문구,11410720,북가좌2동,183812
A,골목상권,3110560,마포FM,192787,451180,11440,마포구,11440710,연남동,60230
A,골목상권,3110561,상수역 4번,193020,449646,11440,마포구,11440655,서강동,81410
A,골목상권,3111078,굽은다리역 4번,212791,449269,11740,강동구,11740685,길동,207328
A,골목상권,3110485,연신내우체국,193759,458017,11380,은평구,11380530,불광2동,103329
A,골목상권,3110486,은평구청,193642,455881,11380,은평구,11380510,녹번동,63348
A,골목상권,3110496,모래내우체국,192218,453273,11410,서대문구,11410720,북가좌2동,69544
A,골목상권,3110546,양화대교북단,191662,450075,11440,마포구,11440680,합정동,102440
A,골목상권,3110547,KB국민은행 망원동지점,191646,451113,11440,마포구,11440700,망원2동,72666
A,골목상권,3110458,선일여고,192396,457958,11380,은평구,11380552,갈현2동,118649
A,골목상권,3110459,응암역 2번,192366,455560,11380,은평구,11380631,신사1동,104660
A,골목상권,3110460,구산역 4번,192498,457218,11380,은평구,11380552,갈현2동,149102
A,골목상권,3110569,홍대땡땡거리,193992,450570,11440,마포구,11440655,서강동,84934
A,골목상권,3110548,마포구청역 4번,191712,451412,11440,마포구,11440720,성산1동,113289
A,골목상권,3110400,도봉구보건소,203457,462153,11320,도봉구,11320670,쌍문2동,123299
A,골목상권,3110415,수락산역 4번,204689,464016,11350,노원구,11350630,상계1동,197508
A,골목상권,3110588,한겨레신문사,196474,449809,11440,마포구,11440565,공덕동,72183
A,골목상권,3110571,신수동주민센터,194370,449562,11440,마포구,11440630,신수동,75550
A,골목상권,3110572,서강대역 1번,194437,450111,11440,마포구,11440630,신수동,148225
A,골목상권,3110424,상계초등학교,205957,462130,11350,노원구,11350640,상계2동,75911
A,골목상권,3110403,방학1동주민센터,203537,462802,11320,도봉구,11320690,방학1동,153054
A,골목상권,3110404,신창초등학교,203576,459627,11320,도봉구,11320513,창3동,297142
A,골목상권,3111086,한영중고,213661,449837,11740,강동구,11740540,명일2동,75463
A,골목상권,3111087,고덕중학교(고덕2동주민센터),214375,451335,11740,강동구,11740560,고덕2동,63497
A,골목상권,3111088,고덕동성당,215015,451172,11740,강동구,11740560,고덕2동,71669
A,골목상권,3110439,당고개역 5번,206942,463518,11350,노원구,11350665,상계3?4동,99026
A,골목상권,3110441,영신여고,207291,461205,11350,노원구,11350619,중계본동,54737
A,골목상권,3110425,계상초등학교,206006,462411,11350,노원구,11350670,상계5동,104277
A,골목상권,3110474,세명컴퓨터고등학교,193094,458463,11380,은평구,11380530,불광2동,125765
A,골목상권,3110451,증산역 4번,192207,454149,11380,은평구,11380640,증산동,178167
