기준_년분기_코드,상권_코드,상권_코드_명,상권_구분_코드_명,추정매출_합계
20211,3110001,이북5도청사,골목상권,867043993
20212,3110001,이북5도청사,골목상권,1041930218
20213,3110001,이북5도청사,골목상권,1005396698
20214,3110001,이북5도청사,골목상권,992073557
20221,3110001,이북5도청사,골목상권,830414556
20222,3110001,이북5도청사,골목상권,1207389905
20223,3110001,이북5도청사,골목상권,1152851018
20224,3110001,이북5도청사,골목상권,1105492475
20231,3110001,이북5도청사,골목상권,578117653
20232,3110001,이북5도청사,골목상권,640639159
20233,3110001,이북5도청사,골목상권,598432069
20234,3110001,이북5도청사,골목상권,715611949
20241,3110001,이북5도청사,골목상권,448224848
20242,3110001,이북5도청사,골목상권,620258949
20243,3110001,이북5도청사,골목상권,568175868
20244,3110001,이북5도청사,골목상권,651121642
20251,3110001,이북5도청사,골목상권,650083386
20252,3110001,이북5도청사,골목상권,727745521
20253,3110001,이북5도청사,골목상권,642313316
20254,3110001,이북5도청사,골목상권,564980303
20211,3110003,세검정초등학교,골목상권,1003138475
20212,3110003,세검정초등학교,골목상권,1200521061
20213,3110003,세검정초등학교,골목상권,1140933915
20214,3110003,세검정초등학교,골목상권,1384070712
20221,3110003,세검정초등학교,골목상권,890513865
20222,3110003,세검정초등학교,골목상권,1345296148
20223,3110003,세검정초등학교,골목상권,1396565621
20224,3110003,세검정초등학교,골목상권,1434770421
20231,3110003,세검정초등학교,골목상권,1261714908
20232,3110003,세검정초등학교,골목상권,1540558866
20233,3110003,세검정초등학교,골목상권,1532260767
20234,3110003,세검정초등학교,골목상권,1285753174
20241,3110003,세검정초등학교,골목상권,1276483931
20242,3110003,세검정초등학교,골목상권,1378690439
20243,3110003,세검정초등학교,골목상권,1429473938
20244,3110003,세검정초등학교,골목상권,1281835618
20251,3110003,세검정초등학교,골목상권,1543563500
20252,3110003,세검정초등학교,골목상권,1469123230
20253,3110003,세검정초등학교,골목상권,1416572548
20254,3110003,세검정초등학교,골목상권,1456498466
20211,3110005,세검정,골목상권,841814712
20212,3110005,세검정,골목상권,902732210
20213,3110005,세검정,골목상권,825346479
20214,3110005,세검정,골목상권,968120806
20221,3110005,세검정,골목상권,741103039
20222,3110005,세검정,골목상권,891218747
20223,3110005,세검정,골목상권,849384048
20224,3110005,세검정,골목상권,930135905
20231,3110005,세검정,골목상권,823702184
20232,3110005,세검정,골목상권,851410059
20233,3110005,세검정,골목상권,887791338
20234,3110005,세검정,골목상권,880716271
20241,3110005,세검정,골목상권,864723276
20242,3110005,세검정,골목상권,834414328
20243,3110005,세검정,골목상권,798045959
20244,3110005,세검정,골목상권,850364805
20251,3110005,세검정,골목상권,726210801
20252,3110005,세검정,골목상권,804309232
20253,3110005,세검정,골목상권,784441102
20254,3110005,세검정,골목상권,638469752
20211,3110009,자하문터널,골목상권,699472581
20212,3110009,자하문터널,골목상권,1176941108
20213,3110009,자하문터널,골목상권,1117273369
20214,3110009,자하문터널,골목상권,1133105465
20221,3110009,자하문터널,골목상권,743064252
20222,3110009,자하문터널,골목상권,1737961664
20223,3110009,자하문터널,골목상권,1573715264
20224,3110009,자하문터널,골목상권,1606592621
20231,3110009,자하문터널,골목상권,898200529
20232,3110009,자하문터널,골목상권,1425924131
20233,3110009,자하문터널,골목상권,1460475814
20234,3110009,자하문터널,골목상권,1210373704
20241,3110009,자하문터널,골목상권,936062751
20242,3110009,자하문터널,골목상권,1245174286
20243,3110009,자하문터널,골목상권,1157948220
20244,3110009,자하문터널,골목상권,1211620724
20251,3110009,자하문터널,골목상권,850106461
20252,3110009,자하문터널,골목상권,1323882333
20253,3110009,자하문터널,골목상권,954133809
20254,3110009,자하문터널,골목상권,924945845
20211,3110010,평창동서측,골목상권,2814910404
20212,3110010,평창동서측,골목상권,2764630861
20213,3110010,평창동서측,골목상권,2798939329
20214,3110010,평창동서측,골목상권,2685893537
20221,3110010,평창동서측,골목상권,1283341968
20222,3110010,평창동서측,골목상권,1435149905
20223,3110010,평창동서측,골목상권,1111665164
20224,3110010,평창동서측,골목상권,1120791688
20231,3110010,평창동서측,골목상권,1525927228
20232,3110010,평창동서측,골목상권,1594337521
20233,3110010,평창동서측,골목상권,2378546620
20234,3110010,평창동서측,골목상권,2364693172
20241,3110010,평창동서측,골목상권,2029908865
